dimension,segment,period,users,visits,meaningful_visits,meaningful_rate,product_visits,product_rate,catalog_landing_visits,catalog_to_product_visits,catalog_to_product_rate,intent_visits,intent_rate,intent_confidence
campaign,DDD_Dubai_wide_1,Волна 1 · январь–февраль,6562,7588,439,0.05785450711649974,406,0.05350553505535055,7463,283,0.0379204073428916,20,0.002635740643120717,Слабый сигнал
campaign,DDD_Dubai_wide_3,Волна 1 · январь–февраль,6667,7576,307,0.04052270327349525,256,0.0337909186906019,7550,233,0.03086092715231788,48,0.006335797254487857,Слабый сигнал
campaign,DDD_Dubai_wide_2,Волна 1 · январь–февраль,4730,4972,189,0.03801287208366854,156,0.031375703942075624,4959,142,0.028634805404315386,34,0.006838294448913918,Слабый сигнал
campaign,(none),Волна 1 · январь–февраль,1630,1926,1226,0.6365524402907581,1008,0.5233644859813084,506,129,0.2549407114624506,154,0.07995846313603323,Можно сравнивать
campaign,Dubai_rtrgt_26.01,Волна 1 · январь–февраль,166,177,65,0.3672316384180791,65,0.3672316384180791,152,40,0.2631578947368421,2,0.011299435028248588,Недостаточно данных
campaign,bio),Волна 1 · январь–февраль,48,60,29,0.48333333333333334,29,0.48333333333333334,50,20,0.4,0,0.0,Недостаточно данных
campaign,120239977513240764,Волна 1 · январь–февраль,56,59,45,0.7627118644067796,45,0.7627118644067796,16,2,0.125,1,0.01694915254237288,Недостаточно данных
campaign,bagsold,Волна 1 · январь–февраль,14,14,1,0.07142857142857142,1,0.07142857142857142,14,1,0.07142857142857142,0,0.0,Недостаточно данных
campaign,hlights,Волна 1 · январь–февраль,9,10,10,1.0,10,1.0,0,0,,0,0.0,Недостаточно данных
campaign,bagsnew),Волна 1 · январь–февраль,6,6,1,0.16666666666666666,1,0.16666666666666666,6,1,0.16666666666666666,0,0.0,Недостаточно данных
campaign,chat,Волна 1 · январь–февраль,4,4,0,0.0,0,0.0,4,0,0.0,0,0.0,Недостаточно данных
campaign,dubai_interests_1,Волна 1 · январь–февраль,4,4,0,0.0,0,0.0,4,0,0.0,0,0.0,Недостаточно данных
campaign,Dubai_rtrgt,Волна 1 · январь–февраль,3,3,0,0.0,0,0.0,3,0,0.0,0,0.0,Недостаточно данных
campaign,hlights),Волна 1 · январь–февраль,1,3,3,1.0,3,1.0,0,0,,0,0.0,Недостаточно данных
campaign,120240093969060764,Волна 1 · январь–февраль,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
campaign,bagsold),Волна 1 · январь–февраль,1,1,0,0.0,0,0.0,1,0,0.0,0,0.0,Недостаточно данных
campaign,{{adset.name}},Волна 1 · январь–февраль,1,1,0,0.0,0,0.0,1,0,0.0,0,0.0,Недостаточно данных
campaign,САЙТ 14.04.26,Волна 2 · апрель,23358,31887,1624,0.05092984601875372,1468,0.04603757016966162,31664,1278,0.04036129358261748,137,0.004296421739266786,Можно сравнивать
campaign,(none),Волна 2 · апрель,1271,1426,1067,0.7482468443197756,903,0.6332398316970547,109,35,0.3211009174311927,93,0.06521739130434782,Направленный сигнал
campaign,bio),Волна 2 · апрель,174,188,72,0.3829787234042553,68,0.3617021276595745,176,60,0.3409090909090909,3,0.015957446808510637,Недостаточно данных
campaign,"Новая кампания с целью ""Лиды""",Волна 2 · апрель,87,88,20,0.22727272727272727,19,0.2159090909090909,86,18,0.20930232558139536,0,0.0,Недостаточно данных
campaign,{{campaign.name}},Волна 2 · апрель,6,17,5,0.29411764705882354,3,0.17647058823529413,14,2,0.14285714285714285,2,0.11764705882352941,Недостаточно данных
