route,visits
catalog,50691
product,2175
catalog → product,1714
home,1195
catalog → product → catalog,342
home → product,215
cart,205
home → catalog → product,176
home → catalog,167
catalog → product → catalog → product,105
product → catalog,90
catalog → one_click,74
catalog → cart,64
home → instagram,62
service,51
product → catalog → product,41
home → product → home,41
catalog → product → catalog → product → catalog,33
home → catalog → home,33
catalog → home,30
home → service,25
404,24
catalog → product → catalog → product → catalog → product,22
other,21
home → catalog → product → home,20
one_click,19
catalog → service,18
home → catalog → product → catalog → product,17
catalog → other,17
cart → catalog,16
product → other,16
catalog → cart → catalog,15
home → catalog → product → catalog,12
home → product → home → product,12
catalog → one_click → catalog,11
catalog → home → catalog,11
home → catalog → product → catalog → home,11
catalog → product → instagram,10
catalog → product → catalog → product → catalog → product → catalog,9
product → home,8
catalog → product → home,8
catalog → instagram,8
catalog → shopify_external,8
catalog → product → service,7
catalog → product → other,7
home → catalog → home → catalog → product,7
product → instagram,6
home → other,6
home → catalog → home → catalog,6
home → instagram → home,6
product → service,6
product → noon,6
cart → product,5
home → service → catalog → product,5
home → product → home → product → home,5
catalog → product → whatsapp,5
home → catalog → service,5
catalog → product → catalog → product → catalog → product → catalog → product → …,5
product → catalog → product → catalog,5
catalog → other → catalog,4
catalog → 404,4
home → product → catalog,4
product → home → product,4
home → product → instagram,4
product → catalog → product → catalog → product,4
home → service → catalog,4
product → home → catalog → product,4
catalog → shopify_external → catalog,4
home → instagram → catalog → product,4
catalog → service → catalog,4
service → catalog → product,3
catalog → product → home → catalog → product,3
404 → catalog,3
catalog → product → other → catalog,3
home → catalog → product → instagram,3
catalog → product → catalog → home,3
home → catalog → home → catalog → home,3
product → home → catalog,3
catalog → home → product → catalog,3
catalog → product → one_click,3
home → instagram → product,3
thank_you,3
home → catalog → product → noon,3
home → catalog → product → home → catalog,3
home → product → home → catalog → product,3
catalog → home → product,3
home → product → catalog → product,3
catalog → product → catalog → one_click,3
home → catalog → product → service → catalog,3
home → catalog → product → home → product,2
